Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
41,Entry long,2026-07-01 20:06,GOLD BUY,1.13811,2000,2276.22,1.16,0.05,0.14,1.45,0.06,-1.51,-0.07,76.09,7.61,201
42,Exit short,2026-07-06 01:09,GOLD FLIP,1.14349,2000,2277.52,-9.55,-0.42,0.09,1.11,0.05,-17.11,-0.75,66.4,6.64,858
42,Entry short,2026-07-02 06:09,GOLD SELL,1.13876,2000,2277.52,-9.55,-0.42,0.09,1.11,0.05,-17.11,-0.75,66.4,6.64,858
43,Exit short,2026-07-06 01:09,GOLD FLIP,1.14349,2000,2286.28,-0.79,-0.03,0.09,2.07,0.09,-6.29,-0.28,65.67,6.57,580
43,Entry short,2026-07-02 20:03,GOLD SELL,1.14314,2000,2286.28,-0.79,-0.03,0.09,2.07,0.09,-6.29,-0.28,65.67,6.57,580
44,Exit short,2026-07-06 01:09,GOLD FLIP,1.14349,2000,2289.44,2.37,0.10,0.09,3.07,0.13,-3.13,-0.14,68.11,6.81,380
44,Entry short,2026-07-03 06:03,GOLD SELL,1.14472,2000,2289.44,2.37,0.10,0.09,3.07,0.13,-3.13,-0.14,68.11,6.81,380
45,Exit long,2026-07-06 01:18,GOLD FLIP,1.14395,2000,2286.98,0.78,0.03,0.14,1.19,0.05,-0.47,-0.02,68.89,6.89,3
45,Entry long,2026-07-06 01:09,GOLD BUY,1.14349,2000,2286.98,0.78,0.03,0.14,1.19,0.05,-0.47,-0.02,68.89,6.89,3
46,Exit short,2026-07-06 07:00,GOLD FLIP,1.14237,2000,2287.9,3.02,0.13,0.14,3.19,0.14,-0.35,-0.02,71.91,7.19,114
46,Entry short,2026-07-06 01:18,GOLD SELL,1.14395,2000,2287.9,3.02,0.13,0.14,3.19,0.14,-0.35,-0.02,71.91,7.19,114
47,Exit long,2026-07-06 20:03,GOLD FLIP,1.14414,2000,2284.74,3.4,0.15,0.14,4.23,0.19,-3.13,-0.14,75.31,7.53,261
47,Entry long,2026-07-06 07:00,GOLD BUY,1.14237,2000,2284.74,3.4,0.15,0.14,4.23,0.19,-3.13,-0.14,75.31,7.53,261
48,Exit short,2026-07-07 06:03,GOLD FLIP,1.1437,2000,2288.28,0.74,0.03,0.14,1.23,0.05,-1.37,-0.06,76.05,7.61,200
48,Entry short,2026-07-06 20:03,GOLD SELL,1.14414,2000,2288.28,0.74,0.03,0.14,1.23,0.05,-1.37,-0.06,76.05,7.61,200
49,Exit long,2026-07-08 06:06,GOLD FLIP,1.14184,2000,2287.4,-3.81,-0.17,0.09,0.97,0.04,-7.77,-0.34,72.1,7.21,481
49,Entry long,2026-07-07 06:03,GOLD BUY,1.1437,2000,2287.4,-3.81,-0.17,0.09,0.97,0.04,-7.77,-0.34,72.1,7.21,481
50,Exit long,2026-07-08 06:06,GOLD FLIP,1.14184,2000,2283.48,0.11,0.00,0.09,0.13,0.01,-3.85,-0.17,72.27,7.23,201
50,Entry long,2026-07-07 20:03,GOLD BUY,1.14174,2000,2283.48,0.11,0.00,0.09,0.13,0.01,-3.85,-0.17,72.27,7.23,201
51,Exit long,2026-07-08 06:06,GOLD FLIP,1.14184,2000,2282.4,1.19,0.05,0.09,1.21,0.05,-2.77,-0.12,73.53,7.35,195
51,Entry long,2026-07-07 20:21,GOLD BUY,1.1412,2000,2282.4,1.19,0.05,0.09,1.21,0.05,-2.77,-0.12,73.53,7.35,195
52,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2283.68,0.5,0.02,0.08,5.37,0.24,-8.55,-0.37,73.54,7.35,1239
52,Entry short,2026-07-08 06:06,GOLD SELL,1.14184,2000,2283.68,0.5,0.02,0.08,5.37,0.24,-8.55,-0.37,73.54,7.35,1239
53,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2285.48,2.3,0.10,0.08,3.13,0.14,-6.75,-0.30,75.91,7.59,959
53,Entry short,2026-07-08 20:06,GOLD SELL,1.14274,2000,2285.48,2.3,0.10,0.08,3.13,0.14,-6.75,-0.30,75.91,7.59,959
54,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2286.14,2.96,0.13,0.08,3.79,0.17,-6.09,-0.27,78.94,7.89,757
54,Entry short,2026-07-09 06:12,GOLD SELL,1.14307,2000,2286.14,2.96,0.13,0.08,3.79,0.17,-6.09,-0.27,78.94,7.89,757
55,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2286.36,3.18,0.14,0.08,4.01,0.18,-5.87,-0.26,82.2,8.22,756
